benchmark,type,lut,dsp,latency,meet_timing,source
linear-algebra-3mm,hls,742,9,5043,1,results/17_09_51-08_2020
linear-algebra-3mm,hls_total,782,9,5043,1,results/17_09_51-08_2020
linear-algebra-3mm,futil,651,9,0,1,results/17_09_51-08_2020
linear-algebra-symm,hls,549,15,2033,1,results/17_09_51-08_2020
linear-algebra-symm,hls_total,589,15,2033,1,results/17_09_51-08_2020
linear-algebra-symm,futil,684,21,0,1,results/17_09_51-08_2020
linear-algebra-2mm,hls,939,12,3718,1,results/17_09_51-08_2020
linear-algebra-2mm,hls_total,979,12,3718,1,results/17_09_51-08_2020
linear-algebra-2mm,futil,4039,12,0,1,results/17_09_51-08_2020
linear-algebra-syr2k,hls,726,9,,1,results/17_09_51-08_2020
linear-algebra-syr2k,hls_total,766,9,,1,results/17_09_51-08_2020
linear-algebra-syr2k,futil,2674,15,0,1,results/17_09_51-08_2020
linear-algebra-lu,hls,764,3,1817,1,results/17_09_51-08_2020
linear-algebra-lu,hls_total,804,3,1817,1,results/17_09_51-08_2020
linear-algebra-lu,futil,528,6,0,1,results/17_09_51-08_2020
linear-algebra-syrk,hls,641,9,,1,results/17_09_51-08_2020
linear-algebra-syrk,hls_total,681,9,,1,results/17_09_51-08_2020
linear-algebra-syrk,futil,1460,9,0,1,results/17_09_51-08_2020
linear-algebra-ludcmp,hls,1594,12,,1,results/17_09_51-08_2020
linear-algebra-ludcmp,hls_total,1634,12,,1,results/17_09_51-08_2020
linear-algebra-ludcmp,futil,1260,12,0,1,results/17_09_51-08_2020
linear-algebra-durbin,hls,1070,12,366,1,results/17_09_51-08_2020
linear-algebra-durbin,hls_total,1110,12,366,1,results/17_09_51-08_2020
linear-algebra-durbin,futil,958,12,0,1,results/17_09_51-08_2020
linear-algebra-trisolv,hls,570,3,377,1,results/17_09_51-08_2020
linear-algebra-trisolv,hls_total,610,3,377,1,results/17_09_51-08_2020
linear-algebra-trisolv,futil,322,3,0,1,results/17_09_51-08_2020
linear-algebra-bicg,hls,327,6,218,1,results/17_09_51-08_2020
linear-algebra-bicg,hls_total,367,6,218,1,results/17_09_51-08_2020
linear-algebra-bicg,futil,377,6,0,1,results/17_09_51-08_2020
linear-algebra-atax,hls,610,6,715,1,results/17_09_51-08_2020
linear-algebra-atax,hls_total,650,6,715,1,results/17_09_51-08_2020
linear-algebra-atax,futil,1174,6,0,1,results/17_09_51-08_2020
linear-algebra-gesummv,hls,756,12,532,1,results/17_09_51-08_2020
linear-algebra-gesummv,hls_total,796,12,532,1,results/17_09_51-08_2020
linear-algebra-gesummv,futil,2020,12,0,1,results/17_09_51-08_2020
linear-algebra-gemm,hls,633,9,2684,1,results/17_09_51-08_2020
linear-algebra-gemm,hls_total,673,9,2684,1,results/17_09_51-08_2020
linear-algebra-gemm,futil,2690,9,0,1,results/17_09_51-08_2020
linear-algebra-gemver,hls,1338,18,1105,1,results/17_09_51-08_2020
linear-algebra-gemver,hls_total,1378,18,1105,1,results/17_09_51-08_2020
linear-algebra-gemver,futil,2141,18,0,1,results/17_09_51-08_2020
linear-algebra-cholesky,hls,4040,6,1385,1,results/17_09_51-08_2020
linear-algebra-cholesky,hls_total,4080,6,1385,1,results/17_09_51-08_2020
linear-algebra-cholesky,futil,604,6,0,1,results/17_09_51-08_2020
linear-algebra-mvt,hls,657,6,597,1,results/17_09_51-08_2020
linear-algebra-mvt,hls_total,697,6,597,1,results/17_09_51-08_2020
linear-algebra-mvt,futil,1232,6,0,1,results/17_09_51-08_2020

