benchmark,type,lut,dsp,latency,meet_timing,source
linear-algebra-3mm,hls,4658,72,3305,1,results/18_15_12-08_2020/
linear-algebra-3mm,hls_total,4698,72,3305,1,results/18_15_12-08_2020/
linear-algebra-3mm,futil,8526,72,17513,1,results/18_15_12-08_2020/
linear-algebra-gramschmidt,hls,3355,36,3205,1,results/18_15_12-08_2020/
linear-algebra-gramschmidt,hls_total,3395,36,3205,1,results/18_15_12-08_2020/
linear-algebra-gramschmidt,futil,7086,36,0,1,results/18_15_12-08_2020/
linear-algebra-2mm,hls,3516,72,2686,1,results/14_17_26-08_2020
linear-algebra-2mm,hls_total,3556,72,2686,1,results/14_17_26-08_2020
linear-algebra-2mm,futil,6895,84,0,1,results/14_17_26-08_2020
linear-algebra-atax,hls,961,12,531,1,results/14_17_26-08_2020
linear-algebra-atax,hls_total,1001,12,531,1,results/14_17_26-08_2020
linear-algebra-atax,futil,1627,12,0,1,results/14_17_26-08_2020
linear-algebra-gesummv,hls,1788,36,512,1,results/14_17_26-08_2020
linear-algebra-gesummv,hls_total,1828,36,512,1,results/14_17_26-08_2020
linear-algebra-gesummv,futil,3325,36,0,1,results/14_17_26-08_2020
linear-algebra-gemm,hls,1950,48,1656,1,results/14_17_26-08_2020
linear-algebra-gemm,hls_total,1990,48,1656,1,results/14_17_26-08_2020
linear-algebra-gemm,futil,3869,60,0,1,results/14_17_26-08_2020
linear-algebra-gemver,hls,3110,60,789,1,results/14_17_26-08_2020
linear-algebra-gemver,hls_total,3150,60,789,1,results/14_17_26-08_2020
linear-algebra-gemver,futil,4655,72,0,1,results/14_17_26-08_2020
linear-algebra-mvt,hls,1353,24,421,1,results/14_17_26-08_2020
linear-algebra-mvt,hls_total,1393,24,421,1,results/14_17_26-08_2020
linear-algebra-mvt,futil,2143,24,0,1,results/14_17_26-08_2020
linear-algebra-syr2k,hls,962,12,2368,1,results/18_16_38-08_2020
linear-algebra-syr2k,hls_total,1002,12,2368,1,results/18_16_38-08_2020
linear-algebra-syr2k,futil,3490,27,0,1,results/18_16_38-08_2020
linear-algebra-syrk,hls,982,27,1191,1,results/18_16_38-08_2020
linear-algebra-syrk,hls_total,1022,27,1191,1,results/18_16_38-08_2020
linear-algebra-syrk,futil,2105,27,0,1,results/18_16_38-08_2020
