benchmark,type,key,value
cholesky,no-static-timing,latency,3223
doitgen,no-static-timing,latency,49996
3mm,no-static-timing,latency,28458
gemver,no-static-timing,latency,5919
atax,no-static-timing,latency,3618
2mm,no-static-timing,latency,25335
syrk,no-static-timing,latency,18786
gesummv,no-static-timing,latency,3997
mvt,no-static-timing,latency,3026
gemm,no-static-timing,latency,14485
syr2k,no-static-timing,latency,26889
lu,no-static-timing,latency,4392
ludcmp,no-static-timing,latency,5798
durbin,no-static-timing,latency,1413
symm,no-static-timing,latency,15250
bicg,no-static-timing,latency,1877
trisolv,no-static-timing,latency,665
gramschmidt,no-static-timing,latency,27642
trmm,no-static-timing,latency,8048
