benchmark,type,key,value
cholesky,with-static-timing,latency,2215
doitgen,with-static-timing,latency,49552
3mm,with-static-timing,latency,17514
gemver,with-static-timing,latency,3726
atax,with-static-timing,latency,2274
2mm,with-static-timing,latency,15591
syrk,with-static-timing,latency,12090
gesummv,with-static-timing,latency,2229
mvt,with-static-timing,latency,1865
gemm,with-static-timing,latency,9277
syr2k,with-static-timing,latency,17199
lu,with-static-timing,latency,2648
ludcmp,with-static-timing,latency,3562
durbin,with-static-timing,latency,811
symm,with-static-timing,latency,6994
bicg,with-static-timing,latency,1084
trisolv,with-static-timing,latency,353
gramschmidt,with-static-timing,latency,18642
trmm,with-static-timing,latency,3824
