benchmark,type,key,value
gesummv,all,lut,2353
gesummv,all,dsp,12
gesummv,all,meet_timing,1
gesummv,all,registers,259
gesummv,all,muxes,291
gesummv,all,clb_registers,4771
gesummv,all,carry8,16
gesummv,all,f7_muxes,520
gesummv,all,f8_muxes,116
gesummv,all,f9_muxes,0
gesummv,all,clb,7776
gesummv,all,cell_lut1,6
gesummv,all,cell_lut2,339
gesummv,all,cell_lut3,206
gesummv,all,cell_lut4,301
gesummv,all,cell_lut5,119
gesummv,all,cell_lut6,1616
gesummv,all,cell_fdre,4771
syr2k,all,lut,2694
syr2k,all,dsp,15
syr2k,all,meet_timing,1
syr2k,all,registers,307
syr2k,all,muxes,333
syr2k,all,clb_registers,6825
syr2k,all,carry8,14
syr2k,all,f7_muxes,640
syr2k,all,f8_muxes,64
syr2k,all,f9_muxes,0
syr2k,all,clb,10237
syr2k,all,cell_lut1,6
syr2k,all,cell_lut2,135
syr2k,all,cell_lut3,382
syr2k,all,cell_lut4,127
syr2k,all,cell_lut5,83
syr2k,all,cell_lut6,2223
syr2k,all,cell_fdre,6825
ludcmp,all,lut,1200
ludcmp,all,dsp,12
ludcmp,all,meet_timing,1
ludcmp,all,registers,130
ludcmp,all,muxes,197
ludcmp,all,clb_registers,972
ludcmp,all,carry8,30
ludcmp,all,f7_muxes,0
ludcmp,all,f8_muxes,0
ludcmp,all,f9_muxes,0
ludcmp,all,clb,2202
ludcmp,all,cell_lut1,5
ludcmp,all,cell_lut2,319
ludcmp,all,cell_lut3,174
ludcmp,all,cell_lut4,225
ludcmp,all,cell_lut5,254
ludcmp,all,cell_lut6,471
ludcmp,all,cell_fdre,970
gemver,all,lut,2440
gemver,all,dsp,18
gemver,all,meet_timing,1
gemver,all,registers,279
gemver,all,muxes,296
gemver,all,clb_registers,3019
gemver,all,carry8,16
gemver,all,f7_muxes,258
gemver,all,f8_muxes,128
gemver,all,f9_muxes,0
gemver,all,clb,5861
gemver,all,cell_lut1,11
gemver,all,cell_lut2,637
gemver,all,cell_lut3,428
gemver,all,cell_lut4,302
gemver,all,cell_lut5,349
gemver,all,cell_lut6,1106
gemver,all,cell_fdre,3019
gemm,all,lut,2455
gemm,all,dsp,9
gemm,all,meet_timing,1
gemm,all,registers,284
gemm,all,muxes,320
gemm,all,clb_registers,6589
gemm,all,carry8,10
gemm,all,f7_muxes,768
gemm,all,f8_muxes,192
gemm,all,f9_muxes,0
gemm,all,clb,10014
gemm,all,cell_lut1,2
gemm,all,cell_lut2,136
gemm,all,cell_lut3,276
gemm,all,cell_lut4,91
gemm,all,cell_lut5,88
gemm,all,cell_lut6,2078
gemm,all,cell_fdre,6589
3mm,all,lut,564
3mm,all,dsp,9
3mm,all,meet_timing,1
3mm,all,registers,75
3mm,all,muxes,102
3mm,all,clb_registers,373
3mm,all,carry8,10
3mm,all,f7_muxes,0
3mm,all,f8_muxes,0
3mm,all,f9_muxes,0
3mm,all,clb,947
3mm,all,cell_lut1,13
3mm,all,cell_lut2,412
3mm,all,cell_lut3,23
3mm,all,cell_lut4,29
3mm,all,cell_lut5,82
3mm,all,cell_lut6,235
3mm,all,cell_fdre,373
atax,all,lut,1339
atax,all,dsp,6
atax,all,meet_timing,1
atax,all,registers,151
atax,all,muxes,185
atax,all,clb_registers,2411
atax,all,carry8,8
atax,all,f7_muxes,256
atax,all,f8_muxes,128
atax,all,f9_muxes,0
atax,all,clb,4142
atax,all,cell_lut1,2
atax,all,cell_lut2,220
atax,all,cell_lut3,113
atax,all,cell_lut4,182
atax,all,cell_lut5,64
atax,all,cell_lut6,912
atax,all,cell_fdre,2411
gramschmidt,all,lut,5157
gramschmidt,all,dsp,9
gramschmidt,all,meet_timing,1
gramschmidt,all,registers,503
gramschmidt,all,muxes,592
gramschmidt,all,clb_registers,11679
gramschmidt,all,carry8,25
gramschmidt,all,f7_muxes,992
gramschmidt,all,f8_muxes,0
gramschmidt,all,f9_muxes,0
gramschmidt,all,clb,17853
gramschmidt,all,cell_lut1,12
gramschmidt,all,cell_lut2,268
gramschmidt,all,cell_lut3,247
gramschmidt,all,cell_lut4,401
gramschmidt,all,cell_lut5,295
gramschmidt,all,cell_lut6,4257
gramschmidt,all,cell_fdre,11677
symm,all,lut,675
symm,all,dsp,21
symm,all,meet_timing,1
symm,all,registers,105
symm,all,muxes,102
symm,all,clb_registers,828
symm,all,carry8,22
symm,all,f7_muxes,0
symm,all,f8_muxes,0
symm,all,f9_muxes,0
symm,all,clb,1525
symm,all,cell_lut1,2
symm,all,cell_lut2,196
symm,all,cell_lut3,306
symm,all,cell_lut4,187
symm,all,cell_lut5,39
symm,all,cell_lut6,204
symm,all,cell_fdre,828
trisolv,all,lut,386
trisolv,all,dsp,3
trisolv,all,meet_timing,1
trisolv,all,registers,40
trisolv,all,muxes,69
trisolv,all,clb_registers,405
trisolv,all,carry8,10
trisolv,all,f7_muxes,0
