benchmark,type,key,value
gesummv,resource-sharing,lut,2155
gesummv,resource-sharing,dsp,12
gesummv,resource-sharing,meet_timing,1
gesummv,resource-sharing,registers,289
gesummv,resource-sharing,muxes,316
gesummv,resource-sharing,clb_registers,5172
gesummv,resource-sharing,carry8,16
gesummv,resource-sharing,f7_muxes,576
gesummv,resource-sharing,f8_muxes,0
gesummv,resource-sharing,f9_muxes,0
gesummv,resource-sharing,clb,7919
gesummv,resource-sharing,cell_lut1,10
gesummv,resource-sharing,cell_lut2,278
gesummv,resource-sharing,cell_lut3,191
gesummv,resource-sharing,cell_lut4,179
gesummv,resource-sharing,cell_lut5,71
gesummv,resource-sharing,cell_lut6,1637
gesummv,resource-sharing,cell_fdre,5172
syr2k,resource-sharing,lut,2659
syr2k,resource-sharing,dsp,15
syr2k,resource-sharing,meet_timing,1
syr2k,resource-sharing,registers,329
syr2k,resource-sharing,muxes,344
syr2k,resource-sharing,clb_registers,7042
syr2k,resource-sharing,carry8,14
syr2k,resource-sharing,f7_muxes,640
syr2k,resource-sharing,f8_muxes,64
syr2k,resource-sharing,f9_muxes,0
syr2k,resource-sharing,clb,10419
syr2k,resource-sharing,cell_lut1,-1
syr2k,resource-sharing,cell_lut2,173
syr2k,resource-sharing,cell_lut3,282
syr2k,resource-sharing,cell_lut4,142
syr2k,resource-sharing,cell_lut5,66
syr2k,resource-sharing,cell_lut6,2219
syr2k,resource-sharing,cell_fdre,7042
ludcmp,resource-sharing,lut,1287
ludcmp,resource-sharing,dsp,12
ludcmp,resource-sharing,meet_timing,1
ludcmp,resource-sharing,registers,164
ludcmp,resource-sharing,muxes,162
ludcmp,resource-sharing,clb_registers,1382
ludcmp,resource-sharing,carry8,30
ludcmp,resource-sharing,f7_muxes,0
ludcmp,resource-sharing,f8_muxes,0
ludcmp,resource-sharing,f9_muxes,0
ludcmp,resource-sharing,clb,2699
ludcmp,resource-sharing,cell_lut1,10
ludcmp,resource-sharing,cell_lut2,330
ludcmp,resource-sharing,cell_lut3,164
ludcmp,resource-sharing,cell_lut4,286
ludcmp,resource-sharing,cell_lut5,212
ludcmp,resource-sharing,cell_lut6,530
ludcmp,resource-sharing,cell_fdre,1380
gemver,resource-sharing,lut,2043
gemver,resource-sharing,dsp,18
gemver,resource-sharing,meet_timing,1
gemver,resource-sharing,registers,341
gemver,resource-sharing,muxes,329
gemver,resource-sharing,clb_registers,3822
gemver,resource-sharing,carry8,16
gemver,resource-sharing,f7_muxes,256
gemver,resource-sharing,f8_muxes,128
gemver,resource-sharing,f9_muxes,0
gemver,resource-sharing,clb,6265
gemver,resource-sharing,cell_lut1,15
gemver,resource-sharing,cell_lut2,622
gemver,resource-sharing,cell_lut3,376
gemver,resource-sharing,cell_lut4,205
gemver,resource-sharing,cell_lut5,250
gemver,resource-sharing,cell_lut6,941
gemver,resource-sharing,cell_fdre,3822
gemm,resource-sharing,lut,2407
gemm,resource-sharing,dsp,9
gemm,resource-sharing,meet_timing,1
gemm,resource-sharing,registers,306
gemm,resource-sharing,muxes,339
gemm,resource-sharing,clb_registers,6806
gemm,resource-sharing,carry8,10
gemm,resource-sharing,f7_muxes,768
gemm,resource-sharing,f8_muxes,384
gemm,resource-sharing,f9_muxes,0
gemm,resource-sharing,clb,10375
gemm,resource-sharing,cell_lut1,6
gemm,resource-sharing,cell_lut2,72
gemm,resource-sharing,cell_lut3,158
gemm,resource-sharing,cell_lut4,110
gemm,resource-sharing,cell_lut5,91
gemm,resource-sharing,cell_lut6,2124
gemm,resource-sharing,cell_fdre,6806
3mm,resource-sharing,lut,652
3mm,resource-sharing,dsp,9
3mm,resource-sharing,meet_timing,1
3mm,resource-sharing,registers,101
3mm,resource-sharing,muxes,117
3mm,resource-sharing,clb_registers,627
3mm,resource-sharing,carry8,10
3mm,resource-sharing,f7_muxes,0
3mm,resource-sharing,f8_muxes,0
3mm,resource-sharing,f9_muxes,0
3mm,resource-sharing,clb,1289
3mm,resource-sharing,cell_lut1,8
3mm,resource-sharing,cell_lut2,429
3mm,resource-sharing,cell_lut3,94
3mm,resource-sharing,cell_lut4,39
3mm,resource-sharing,cell_lut5,51
3mm,resource-sharing,cell_lut6,291
3mm,resource-sharing,cell_fdre,627
atax,resource-sharing,lut,1166
atax,resource-sharing,dsp,6
atax,resource-sharing,meet_timing,1
atax,resource-sharing,registers,173
atax,resource-sharing,muxes,197
atax,resource-sharing,clb_registers,2655
atax,resource-sharing,carry8,8
atax,resource-sharing,f7_muxes,256
atax,resource-sharing,f8_muxes,128
atax,resource-sharing,f9_muxes,0
atax,resource-sharing,clb,4213
atax,resource-sharing,cell_lut1,4
atax,resource-sharing,cell_lut2,227
atax,resource-sharing,cell_lut3,88
atax,resource-sharing,cell_lut4,114
atax,resource-sharing,cell_lut5,65
atax,resource-sharing,cell_lut6,820
atax,resource-sharing,cell_fdre,2655
gramschmidt,resource-sharing,lut,4715
gramschmidt,resource-sharing,dsp,9
gramschmidt,resource-sharing,meet_timing,1
gramschmidt,resource-sharing,registers,531
gramschmidt,resource-sharing,muxes,598
gramschmidt,resource-sharing,clb_registers,11992
gramschmidt,resource-sharing,carry8,25
gramschmidt,resource-sharing,f7_muxes,896
gramschmidt,resource-sharing,f8_muxes,160
gramschmidt,resource-sharing,f9_muxes,0
gramschmidt,resource-sharing,clb,17788
gramschmidt,resource-sharing,cell_lut1,12
gramschmidt,resource-sharing,cell_lut2,265
gramschmidt,resource-sharing,cell_lut3,166
gramschmidt,resource-sharing,cell_lut4,392
gramschmidt,resource-sharing,cell_lut5,217
gramschmidt,resource-sharing,cell_lut6,3947
gramschmidt,resource-sharing,cell_fdre,11990
symm,resource-sharing,lut,710
symm,resource-sharing,dsp,21
symm,resource-sharing,meet_timing,1
symm,resource-sharing,registers,117
symm,resource-sharing,muxes,108
symm,resource-sharing,clb_registers,1020
symm,resource-sharing,carry8,22
symm,resource-sharing,f7_muxes,0
symm,resource-sharing,f8_muxes,0
symm,resource-sharing,f9_muxes,0
symm,resource-sharing,clb,1752
symm,resource-sharing,cell_lut1,9
symm,resource-sharing,cell_lut2,473
symm,resource-sharing,cell_lut3,112
symm,resource-sharing,cell_lut4,190
symm,resource-sharing,cell_lut5,41
symm,resource-sharing,cell_lut6,204
symm,resource-sharing,cell_fdre,1020
trisolv,resource-sharing,lut,384
trisolv,resource-sharing,dsp,3
trisolv,resource-sharing,meet_timing,1
trisolv,resource-sharing,registers,46
trisolv,resource-sharing,muxes,71
trisolv,resource-sharing,clb_registers,502
trisolv,resource-sharing,carry8,10
trisolv,resource-sharing,f7_muxes,0
trisolv,resource-sharing,f8_muxes,0
trisolv,resource-sharing,f9_muxes,0
trisolv,resource-sharing,clb,896
trisolv,resource-sharing,cell_lut1,1
trisolv,resource-sharing,cell_lut2,83
trisolv,resource-sharing,cell_lut3,9
trisolv,resource-sharing,cell_lut4,94
trisolv,resource-sharing,cell_lut5,55
trisolv,resource-sharing,cell_lut6,184
trisolv,resource-sharing,cell_fdre,501
trmm,resource-sharing,lut,257
trmm,resource-sharing,dsp,6
trmm,resource-sharing,meet_timing,1
trmm,resource-sharing,registers,50
trmm,resource-sharing,muxes,61
trmm,resource-sharing,clb_registers,367
trmm,resource-sharing,carry8,8
trmm,resource-sharing,f7_muxes,0
trmm,resource-sharing,f8_muxes,0
trmm,resource-sharing,f9_muxes,0
trmm,resource-sharing,clb,632
trmm,resource-sharing,cell_lut1,2
trmm,resource-sharing,cell_lut2,82
trmm,resource-sharing,cell_lut3,172
trmm,resource-sharing,cell_lut4,13
trmm,resource-sharing,cell_lut5,54
trmm,resource-sharing,cell_lut6,53
trmm,resource-sharing,cell_fdre,367
doitgen,resource-sharing,lut,248
doitgen,resource-sharing,dsp,3
doitgen,resource-sharing,meet_timing,1
doitgen,resource-sharing,registers,49
doitgen,resource-sharing,muxes,56
doitgen,resource-sharing,clb_registers,261
doitgen,resource-sharing,carry8,6
doitgen,resource-sharing,f7_muxes,0
doitgen,resource-sharing,f8_muxes,0
doitgen,resource-sharing,f9_muxes,0
doitgen,resource-sharing,clb,515
doitgen,resource-sharing,cell_lut1,2
doitgen,resource-sharing,cell_lut2,132
doitgen,resource-sharing,cell_lut3,118
doitgen,resource-sharing,cell_lut4,29
doitgen,resource-sharing,cell_lut5,26
doitgen,resource-sharing,cell_lut6,71
doitgen,resource-sharing,cell_fdre,261
durbin,resource-sharing,lut,753
durbin,resource-sharing,dsp,12
durbin,resource-sharing,meet_timing,1
durbin,resource-sharing,registers,111
durbin,resource-sharing,muxes,129
durbin,resource-sharing,clb_registers,944
durbin,resource-sharing,carry8,26
durbin,resource-sharing,f7_muxes,0
durbin,resource-sharing,f8_muxes,0
durbin,resource-sharing,f9_muxes,0
durbin,resource-sharing,clb,1723
durbin,resource-sharing,cell_lut1,9
durbin,resource-sharing,cell_lut2,250
durbin,resource-sharing,cell_lut3,146
durbin,resource-sharing,cell_lut4,157
durbin,resource-sharing,cell_lut5,60
durbin,resource-sharing,cell_lut6,326
durbin,resource-sharing,cell_fdre,943
cholesky,resource-sharing,lut,639
cholesky,resource-sharing,dsp,6
cholesky,resource-sharing,meet_timing,1
cholesky,resource-sharing,registers,85
cholesky,resource-sharing,muxes,92
cholesky,resource-sharing,clb_registers,798
cholesky,resource-sharing,carry8,21
cholesky,resource-sharing,f7_muxes,0
cholesky,resource-sharing,f8_muxes,0
cholesky,resource-sharing,f9_muxes,0
cholesky,resource-sharing,clb,1458
cholesky,resource-sharing,cell_lut1,9
cholesky,resource-sharing,cell_lut2,137
cholesky,resource-sharing,cell_lut3,70
cholesky,resource-sharing,cell_lut4,169
cholesky,resource-sharing,cell_lut5,70
cholesky,resource-sharing,cell_lut6,280
cholesky,resource-sharing,cell_fdre,796
syrk,resource-sharing,lut,1509
syrk,resource-sharing,dsp,9
syrk,resource-sharing,meet_timing,1
syrk,resource-sharing,registers,192
syrk,resource-sharing,muxes,219
syrk,resource-sharing,clb_registers,3660
syrk,resource-sharing,carry8,10
syrk,resource-sharing,f7_muxes,322
syrk,resource-sharing,f8_muxes,32
syrk,resource-sharing,f9_muxes,0
syrk,resource-sharing,clb,5533
syrk,resource-sharing,cell_lut1,7
syrk,resource-sharing,cell_lut2,102
syrk,resource-sharing,cell_lut3,165
syrk,resource-sharing,cell_lut4,79
syrk,resource-sharing,cell_lut5,76
syrk,resource-sharing,cell_lut6,1226
syrk,resource-sharing,cell_fdre,3660
2mm,resource-sharing,lut,3794
2mm,resource-sharing,dsp,12
2mm,resource-sharing,meet_timing,1
2mm,resource-sharing,registers,477
2mm,resource-sharing,muxes,548
2mm,resource-sharing,clb_registers,11295
2mm,resource-sharing,carry8,12
2mm,resource-sharing,f7_muxes,1280
2mm,resource-sharing,f8_muxes,640
2mm,resource-sharing,f9_muxes,0
2mm,resource-sharing,clb,17021
2mm,resource-sharing,cell_lut1,9
2mm,resource-sharing,cell_lut2,247
2mm,resource-sharing,cell_lut3,283
2mm,resource-sharing,cell_lut4,186
2mm,resource-sharing,cell_lut5,98
2mm,resource-sharing,cell_lut6,3268
2mm,resource-sharing,cell_fdre,11295
mvt,resource-sharing,lut,1201
mvt,resource-sharing,dsp,6
mvt,resource-sharing,meet_timing,1
mvt,resource-sharing,registers,187
mvt,resource-sharing,muxes,214
