benchmark,type,key,value
cholesky,futil,latency,2215
doitgen,futil,latency,49552
3mm,futil,latency,17514
gemver,futil,latency,3726
atax,futil,latency,2274
2mm,futil,latency,15591
syrk,futil,latency,12090
gesummv,futil,latency,2229
mvt,futil,latency,1865
gemm,futil,latency,9277
syr2k,futil,latency,17199
lu,futil,latency,2648
ludcmp,futil,latency,3562
durbin,futil,latency,811
symm,futil,latency,6994
bicg,futil,latency,1084
trisolv,futil,latency,353
gramschmidt,futil,latency,18642
trmm,futil,latency,3824
