benchmark,type,key,value
gesummv,futil,lut,2196
gesummv,futil,dsp,12
gesummv,futil,meet_timing,1
gesummv,futil,registers,343
gesummv,futil,muxes,377
syr2k,futil,lut,2696
syr2k,futil,dsp,15
syr2k,futil,meet_timing,1
syr2k,futil,registers,371
syr2k,futil,muxes,398
ludcmp,futil,lut,1265
ludcmp,futil,dsp,12
ludcmp,futil,meet_timing,1
ludcmp,futil,registers,240
ludcmp,futil,muxes,252
gemver,futil,lut,2281
gemver,futil,dsp,18
gemver,futil,meet_timing,1
gemver,futil,registers,441
gemver,futil,muxes,457
gemm,futil,lut,2618
gemm,futil,dsp,9
gemm,futil,meet_timing,1
gemm,futil,registers,342
gemm,futil,muxes,380
3mm,futil,lut,526
3mm,futil,dsp,9
3mm,futil,meet_timing,1
3mm,futil,registers,155
3mm,futil,muxes,180
atax,futil,lut,1149
atax,futil,dsp,6
atax,futil,meet_timing,1
atax,futil,registers,215
atax,futil,muxes,224
gramschmidt,futil,lut,4737
gramschmidt,futil,dsp,9
gramschmidt,futil,meet_timing,1
gramschmidt,futil,registers,593
gramschmidt,futil,muxes,659
symm,futil,lut,709
symm,futil,dsp,21
symm,futil,meet_timing,1
symm,futil,registers,155
symm,futil,muxes,154
trisolv,futil,lut,310
trisolv,futil,dsp,3
trisolv,futil,meet_timing,1
trisolv,futil,registers,58
trisolv,futil,muxes,74
trmm,futil,lut,252
trmm,futil,dsp,6
trmm,futil,meet_timing,1
trmm,futil,registers,68
trmm,futil,muxes,69
doitgen,futil,lut,227
doitgen,futil,dsp,3
doitgen,futil,meet_timing,1
doitgen,futil,registers,75
doitgen,futil,muxes,94
durbin,futil,lut,811
durbin,futil,dsp,12
durbin,futil,meet_timing,1
durbin,futil,registers,143
durbin,futil,muxes,174
cholesky,futil,lut,576
cholesky,futil,dsp,6
cholesky,futil,meet_timing,1
cholesky,futil,registers,115
cholesky,futil,muxes,131
syrk,futil,lut,1420
syrk,futil,dsp,9
syrk,futil,meet_timing,1
syrk,futil,registers,228
syrk,futil,muxes,251
2mm,futil,lut,4405
2mm,futil,dsp,12
2mm,futil,meet_timing,1
2mm,futil,registers,563
2mm,futil,muxes,611
mvt,futil,lut,1404
mvt,futil,dsp,6
mvt,futil,meet_timing,1
mvt,futil,registers,225
mvt,futil,muxes,270
lu,futil,lut,513
lu,futil,dsp,6
lu,futil,meet_timing,1
lu,futil,registers,109
lu,futil,muxes,126
bicg,futil,lut,325
bicg,futil,dsp,6
bicg,futil,meet_timing,1
bicg,futil,registers,76
bicg,futil,muxes,94
