benchmark,type,key,value
gemm2,systolic-futil-no-static,lut,334
gemm2,systolic-futil-no-static,dsp,8
gemm2,systolic-futil-no-static,meet_timing,1
gemm2,systolic-futil-no-static,registers,152
gemm2,systolic-futil-no-static,muxes,86
gemm2,systolic-futil-no-static,clb_registers,531
gemm2,systolic-futil-no-static,carry8,24
gemm2,systolic-futil-no-static,f7_muxes,0
gemm2,systolic-futil-no-static,f8_muxes,0
gemm2,systolic-futil-no-static,f9_muxes,0
gemm2,systolic-futil-no-static,clb,889
gemm2,systolic-futil-no-static,cell_lut1,3
gemm2,systolic-futil-no-static,cell_lut2,97
gemm2,systolic-futil-no-static,cell_lut3,98
gemm2,systolic-futil-no-static,cell_lut4,69
gemm2,systolic-futil-no-static,cell_lut5,106
gemm2,systolic-futil-no-static,cell_lut6,78
gemm2,systolic-futil-no-static,cell_fdre,531
gemm6,systolic-futil-no-static,lut,3520
gemm6,systolic-futil-no-static,dsp,72
gemm6,systolic-futil-no-static,meet_timing,1
gemm6,systolic-futil-no-static,registers,0
gemm6,systolic-futil-no-static,muxes,0
gemm6,systolic-futil-no-static,clb_registers,5142
gemm6,systolic-futil-no-static,carry8,216
gemm6,systolic-futil-no-static,f7_muxes,0
gemm6,systolic-futil-no-static,f8_muxes,0
gemm6,systolic-futil-no-static,f9_muxes,0
gemm6,systolic-futil-no-static,clb,8878
gemm6,systolic-futil-no-static,cell_lut1,-1
gemm6,systolic-futil-no-static,cell_lut2,1128
gemm6,systolic-futil-no-static,cell_lut3,1193
gemm6,systolic-futil-no-static,cell_lut4,617
gemm6,systolic-futil-no-static,cell_lut5,983
gemm6,systolic-futil-no-static,cell_lut6,847
gemm6,systolic-futil-no-static,cell_fdre,5142
gemm8,systolic-futil-no-static,lut,8820
gemm8,systolic-futil-no-static,dsp,128
gemm8,systolic-futil-no-static,meet_timing,1
gemm8,systolic-futil-no-static,registers,4496
gemm8,systolic-futil-no-static,muxes,1073
gemm8,systolic-futil-no-static,clb_registers,9510
gemm8,systolic-futil-no-static,carry8,384
gemm8,systolic-futil-no-static,f7_muxes,0
gemm8,systolic-futil-no-static,f8_muxes,0
gemm8,systolic-futil-no-static,f9_muxes,0
gemm8,systolic-futil-no-static,clb,18714
gemm8,systolic-futil-no-static,cell_lut1,-1
gemm8,systolic-futil-no-static,cell_lut2,74
gemm8,systolic-futil-no-static,cell_lut3,67
gemm8,systolic-futil-no-static,cell_lut4,1072
gemm8,systolic-futil-no-static,cell_lut5,4072
gemm8,systolic-futil-no-static,cell_lut6,3858
gemm8,systolic-futil-no-static,cell_fdre,9510
gemm4,systolic-futil-no-static,lut,1448
gemm4,systolic-futil-no-static,dsp,32
gemm4,systolic-futil-no-static,meet_timing,1
gemm4,systolic-futil-no-static,registers,760
gemm4,systolic-futil-no-static,muxes,292
gemm4,systolic-futil-no-static,clb_registers,2197
gemm4,systolic-futil-no-static,carry8,96
gemm4,systolic-futil-no-static,f7_muxes,0
gemm4,systolic-futil-no-static,f8_muxes,0
gemm4,systolic-futil-no-static,f9_muxes,0
gemm4,systolic-futil-no-static,clb,3741
gemm4,systolic-futil-no-static,cell_lut1,-1
gemm4,systolic-futil-no-static,cell_lut2,451
gemm4,systolic-futil-no-static,cell_lut3,463
gemm4,systolic-futil-no-static,cell_lut4,461
gemm4,systolic-futil-no-static,cell_lut5,368
gemm4,systolic-futil-no-static,cell_lut6,211
gemm4,systolic-futil-no-static,cell_fdre,2197
