benchmark,type,key,value
gemm_2,systolic-hls,total_lut,615
gemm_2,systolic-hls,instance_lut,40
gemm_2,systolic-hls,lut,575
gemm_2,systolic-hls,dsp,9
gemm_2,systolic-hls,avg_latency,86
gemm_2,systolic-hls,best_latency,86
gemm_2,systolic-hls,worst_latency,86
gemm_8,systolic-hls,total_lut,673
gemm_8,systolic-hls,instance_lut,40
gemm_8,systolic-hls,lut,633
gemm_8,systolic-hls,dsp,9
gemm_8,systolic-hls,avg_latency,2684
gemm_8,systolic-hls,best_latency,2684
gemm_8,systolic-hls,worst_latency,2684
gemm_4,systolic-hls,total_lut,649
gemm_4,systolic-hls,instance_lut,40
gemm_4,systolic-hls,lut,609
gemm_4,systolic-hls,dsp,9
gemm_4,systolic-hls,avg_latency,432
gemm_4,systolic-hls,best_latency,432
gemm_4,systolic-hls,worst_latency,432
gemm_6,systolic-hls,total_lut,711
gemm_6,systolic-hls,instance_lut,40
gemm_6,systolic-hls,lut,671
gemm_6,systolic-hls,dsp,9
gemm_6,systolic-hls,avg_latency,1234
gemm_6,systolic-hls,best_latency,1234
gemm_6,systolic-hls,worst_latency,1234
