benchmark,type,key,value
doitgen,futil-unrolled,lut,6941
doitgen,futil-unrolled,dsp,12
doitgen,futil-unrolled,meet_timing,1
doitgen,futil-unrolled,registers,954
doitgen,futil-unrolled,muxes,1247
3mm,futil-unrolled,lut,9271
3mm,futil-unrolled,dsp,72
3mm,futil-unrolled,meet_timing,1
3mm,futil-unrolled,registers,1712
3mm,futil-unrolled,muxes,1933
gemver,futil-unrolled,lut,4983
gemver,futil-unrolled,dsp,72
gemver,futil-unrolled,meet_timing,1
gemver,futil-unrolled,registers,1102
gemver,futil-unrolled,muxes,1088
atax,futil-unrolled,lut,1727
atax,futil-unrolled,dsp,12
atax,futil-unrolled,meet_timing,1
atax,futil-unrolled,registers,370
atax,futil-unrolled,muxes,390
2mm,futil-unrolled,lut,7158
2mm,futil-unrolled,dsp,84
2mm,futil-unrolled,meet_timing,1
2mm,futil-unrolled,registers,1378
2mm,futil-unrolled,muxes,1553
syrk,futil-unrolled,lut,2240
syrk,futil-unrolled,dsp,27
syrk,futil-unrolled,meet_timing,1
syrk,futil-unrolled,registers,411
syrk,futil-unrolled,muxes,488
gesummv,futil-unrolled,lut,3605
gesummv,futil-unrolled,dsp,36
gesummv,futil-unrolled,meet_timing,1
gesummv,futil-unrolled,registers,754
gesummv,futil-unrolled,muxes,849
mvt,futil-unrolled,lut,2298
mvt,futil-unrolled,dsp,24
mvt,futil-unrolled,meet_timing,1
mvt,futil-unrolled,registers,504
mvt,futil-unrolled,muxes,617
gemm,futil-unrolled,lut,4093
gemm,futil-unrolled,dsp,60
gemm,futil-unrolled,meet_timing,1
gemm,futil-unrolled,registers,764
gemm,futil-unrolled,muxes,926
syr2k,futil-unrolled,lut,3515
syr2k,futil-unrolled,dsp,27
syr2k,futil-unrolled,meet_timing,1
syr2k,futil-unrolled,registers,499
syr2k,futil-unrolled,muxes,535
gramschmidt,futil-unrolled,lut,6615
gramschmidt,futil-unrolled,dsp,36
gramschmidt,futil-unrolled,meet_timing,1
gramschmidt,futil-unrolled,registers,975
gramschmidt,futil-unrolled,muxes,1239
