benchmark,type,key,value
gesummv,hls-unrolled,total_lut,1828
gesummv,hls-unrolled,instance_lut,40
gesummv,hls-unrolled,lut,1788
gesummv,hls-unrolled,dsp,36
gesummv,hls-unrolled,avg_latency,512
gesummv,hls-unrolled,best_latency,512
gesummv,hls-unrolled,worst_latency,512
syr2k,hls-unrolled,total_lut,1002
syr2k,hls-unrolled,instance_lut,40
syr2k,hls-unrolled,lut,962
syr2k,hls-unrolled,dsp,12
syr2k,hls-unrolled,avg_latency,2368
syr2k,hls-unrolled,best_latency,868
syr2k,hls-unrolled,worst_latency,4168
gemver,hls-unrolled,total_lut,3150
gemver,hls-unrolled,instance_lut,40
gemver,hls-unrolled,lut,3110
gemver,hls-unrolled,dsp,60
gemver,hls-unrolled,avg_latency,789
gemver,hls-unrolled,best_latency,789
gemver,hls-unrolled,worst_latency,789
gemm,hls-unrolled,total_lut,1990
gemm,hls-unrolled,instance_lut,40
gemm,hls-unrolled,lut,1950
gemm,hls-unrolled,dsp,48
gemm,hls-unrolled,avg_latency,1656
gemm,hls-unrolled,best_latency,1656
gemm,hls-unrolled,worst_latency,1656
3mm,hls-unrolled,total_lut,4698
3mm,hls-unrolled,instance_lut,40
3mm,hls-unrolled,lut,4658
3mm,hls-unrolled,dsp,72
3mm,hls-unrolled,avg_latency,3305
3mm,hls-unrolled,best_latency,3305
3mm,hls-unrolled,worst_latency,3305
atax,hls-unrolled,total_lut,1001
atax,hls-unrolled,instance_lut,40
atax,hls-unrolled,lut,961
atax,hls-unrolled,dsp,12
atax,hls-unrolled,avg_latency,531
atax,hls-unrolled,best_latency,531
atax,hls-unrolled,worst_latency,531
gramschmidt,hls-unrolled,total_lut,6614
gramschmidt,hls-unrolled,instance_lut,40
gramschmidt,hls-unrolled,lut,6574
gramschmidt,hls-unrolled,dsp,36
gramschmidt,hls-unrolled,avg_latency,3637
gramschmidt,hls-unrolled,best_latency,2485
gramschmidt,hls-unrolled,worst_latency,4597
doitgen,hls-unrolled,total_lut,1431
doitgen,hls-unrolled,instance_lut,40
doitgen,hls-unrolled,lut,1391
doitgen,hls-unrolled,dsp,12
doitgen,hls-unrolled,avg_latency,10107
doitgen,hls-unrolled,best_latency,10107
doitgen,hls-unrolled,worst_latency,10107
syrk,hls-unrolled,total_lut,1022
syrk,hls-unrolled,instance_lut,40
syrk,hls-unrolled,lut,982
syrk,hls-unrolled,dsp,27
syrk,hls-unrolled,avg_latency,1191
syrk,hls-unrolled,best_latency,651
syrk,hls-unrolled,worst_latency,1911
2mm,hls-unrolled,total_lut,3556
2mm,hls-unrolled,instance_lut,40
2mm,hls-unrolled,lut,3516
2mm,hls-unrolled,dsp,72
2mm,hls-unrolled,avg_latency,2686
2mm,hls-unrolled,best_latency,2686
2mm,hls-unrolled,worst_latency,2686
mvt,hls-unrolled,total_lut,1393
mvt,hls-unrolled,instance_lut,40
mvt,hls-unrolled,lut,1353
mvt,hls-unrolled,dsp,24
mvt,hls-unrolled,avg_latency,421
mvt,hls-unrolled,best_latency,421
mvt,hls-unrolled,worst_latency,421
