benchmark,type,lut,dsp,latency,meet_timing,source
systolic_3,hls,2245,117,58,1,results/17_13_04-08_2020
systolic_3,hls_total,2285,117,58,1,results/17_13_04-08_2020
systolic_3,futil,9881,189,0,1,results/17_13_04-08_2020
systolic_2,hls,1019,48,39,1,results/17_13_04-08_2020
systolic_2,hls_total,1059,48,39,1,results/17_13_04-08_2020
systolic_2,futil,2167,60,0,1,results/17_13_04-08_2020
systolic_4,hls,4547,264,92,1,results/17_13_04-08_2020
systolic_4,hls_total,4587,264,92,1,results/17_13_04-08_2020
systolic_4,futil,34262,325,0,1,results/17_13_04-08_2020
systolic_1,hls,135,9,2,1,results/17_13_04-08_2020
systolic_1,hls_total,175,9,2,1,results/17_13_04-08_2020
systolic_1,futil,502,9,0,1,results/17_13_04-08_2020

